native cold fixture load + shape: 3.139 ms
lifecycle: mounted; scale_factor=2
native fixture path conversion + tessellation + submission: 4.672 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.890 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.383 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.290 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.125 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.122 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.282 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.164 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.922 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 4.173 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.925 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
lifecycle: window closed
lifecycle: proof view dropped; generation=0
